t_code_units,ps
-9.665999999999999659e+01,-6.362276775395400108e+01
-9.664000000000000057e+01,-6.360960351481600128e+01
-9.662000000000000455e+01,-6.359643927567800148e+01
-9.659999999999999432e+01,-6.358327503653999457e+01
-9.657999999999999829e+01,-6.357011079740200188e+01
-9.656000000000000227e+01,-6.355694655826400208e+01
-9.654000000000000625e+01,-6.354378231912600228e+01
-9.651999999999999602e+01,-6.353061807998799537e+01
-9.650000000000000000e+01,-6.351745384085000268e+01
-9.648000000000000398e+01,-6.350428960171200288e+01
-9.645999999999999375e+01,-6.349112536257399597e+01
-9.643999999999999773e+01,-6.347796112343599617e+01
-9.642000000000000171e+01,-6.346479688429800348e+01
-9.640000000000000568e+01,-6.345163264516000368e+01
-9.637999999999999545e+01,-6.343846840602199677e+01
-9.635999999999999943e+01,-6.342530416688399697e+01
-9.634000000000000341e+01,-6.341213992774600428e+01
-9.631999999999999318e+01,-6.339897568860799737e+01
-9.629999999999999716e+01,-6.338581144946999757e+01
-9.628000000000000114e+01,-6.337264721033199777e+01
-9.626000000000000512e+01,-6.335948297119400507e+01
-9.623999999999999488e+01,-6.334631873205599817e+01
-9.621999999999999886e+01,-6.333315449291799837e+01
-9.620000000000000284e+01,-6.331999025378000567e+01
-9.617999999999999261e+01,-6.330682601464199877e+01
-9.615999999999999659e+01,-6.329366177550399897e+01
-9.614000000000000057e+01,-6.328049753636599917e+01
-9.612000000000000455e+01,-6.326733329722800647e+01
-9.609999999999999432e+01,-6.325416905808999957e+01
-9.607999999999999829e+01,-6.324100481895199977e+01
-9.606000000000000227e+01,-6.322784057981399997e+01
-9.604000000000000625e+01,-6.321467634067600727e+01
-9.601999999999999602e+01,-6.320151210153800037e+01
-9.600000000000000000e+01,-6.318834786240000057e+01
-9.598000000000000398e+01,-6.317518362326200076e+01
-9.595999999999999375e+01,-6.316201938412399386e+01
-9.593999999999999773e+01,-6.314885514498600116e+01
-9.592000000000000171e+01,-6.313569090584800136e+01
-9.590000000000000568e+01,-6.312252666671000156e+01
-9.587999999999999545e+01,-6.310936242757199466e+01
-9.585999999999999943e+01,-6.309619818843400196e+01
-9.584000000000000341e+01,-6.308303394929600216e+01
-9.581999999999999318e+01,-6.306986971015799526e+01
-9.579999999999999716e+01,-6.305670547101999546e+01
-9.578000000000000114e+01,-6.304354123188200276e+01
-9.576000000000000512e+01,-6.303037699274400296e+01
-9.573999999999999488e+01,-6.301721275360599606e+01
-9.571999999999999886e+01,-6.300404851446800336e+01
-9.570000000000000284e+01,-6.299088427533000356e+01
