tau_code_units,ps
-9.859999999999999432e+01,-6.489969895033999592e+01
-9.850000000000000000e+01,-6.483387775465000402e+01
-9.840000000000000568e+01,-6.476805655895999791e+01
-9.829999999999999716e+01,-6.470223536326999181e+01
-9.820000000000000284e+01,-6.463641416757999991e+01
-9.809999999999999432e+01,-6.457059297188999381e+01
-9.800000000000000000e+01,-6.450477177620000191e+01
-9.790000000000000568e+01,-6.443895058051001001e+01
-9.779999999999999716e+01,-6.437312938482000391e+01
-9.770000000000000284e+01,-6.430730818912999780e+01
-9.759999999999999432e+01,-6.424148699343999169e+01
-9.750000000000000000e+01,-6.417566579774999980e+01
-9.740000000000000568e+01,-6.410984460206000790e+01
-9.729999999999999716e+01,-6.404402340637000179e+01
-9.720000000000000284e+01,-6.397820221068000279e+01
-9.709999999999999432e+01,-6.391238101498999669e+01
-9.700000000000000000e+01,-6.384655981929999768e+01
-9.690000000000000568e+01,-6.378073862361000579e+01
-9.679999999999999716e+01,-6.371491742791999968e+01
-9.670000000000000284e+01,-6.364909623223000068e+01
-9.659999999999999432e+01,-6.358327503653999457e+01
-9.650000000000000000e+01,-6.351745384085000268e+01
-9.640000000000000568e+01,-6.345163264516000368e+01
-9.629999999999999716e+01,-6.338581144946999757e+01
-9.620000000000000284e+01,-6.331999025378000567e+01
-9.609999999999999432e+01,-6.325416905808999957e+01
-9.600000000000000000e+01,-6.318834786240000057e+01
-9.590000000000000568e+01,-6.312252666671000156e+01
-9.579999999999999716e+01,-6.305670547101999546e+01
-9.570000000000000284e+01,-6.299088427533000356e+01
-9.559999999999999432e+01,-6.292506307963999745e+01
-9.550000000000000000e+01,-6.285924188394999845e+01
-9.540000000000000568e+01,-6.279342068826000656e+01
-9.529999999999999716e+01,-6.272759949257000045e+01
-9.520000000000000284e+01,-6.266177829688000145e+01
-9.509999999999999432e+01,-6.259595710118999534e+01
-9.500000000000000000e+01,-6.253013590550000345e+01
-9.490000000000000568e+01,-6.246431470981000444e+01
-9.479999999999999716e+01,-6.239849351411999834e+01
-9.470000000000000284e+01,-6.233267231842999934e+01
-9.459999999999999432e+01,-6.226685112274000033e+01
-9.450000000000000000e+01,-6.220102992705000133e+01
-9.440000000000000568e+01,-6.213520873136000233e+01
-9.429999999999999716e+01,-6.206938753566999623e+01
-9.420000000000000284e+01,-6.200356633998000433e+01
-9.409999999999999432e+01,-6.193774514428999822e+01
-9.400000000000000000e+01,-6.187192394859999922e+01
-9.389999999999999147e+01,-6.180610275290999311e+01
-9.379999999999999716e+01,-6.174028155722000122e+01
-9.370000000000000284e+01,-6.167446036153000222e+01
-9.359999999999999432e+01,-6.160863916583999611e+01
-9.350000000000000000e+01,-6.154281797014999711e+01
-9.339999999999999147e+01,-6.147699677445999811e+01
-9.329999999999999716e+01,-6.141117557876999911e+01
-9.320000000000000284e+01,-6.134535438308000010e+01
-9.309999999999999432e+01,-6.127953318738999400e+01
-9.300000000000000000e+01,-6.121371199170000210e+01
-9.289999999999999147e+01,-6.114789079600999600e+01
-9.279999999999999716e+01,-6.108206960031999699e+01
-9.270000000000000284e+01,-6.101624840463000510e+01
-9.259999999999999432e+01,-6.095042720893999899e+01
-9.250000000000000000e+01,-6.088460601324999999e+01
-9.239999999999999147e+01,-6.081878481755999388e+01
-9.229999999999999716e+01,-6.075296362187000199e+01
-9.220000000000000284e+01,-6.068714242618000299e+01
-9.209999999999999432e+01,-6.062132123048999688e+01
-9.200000000000000000e+01,-6.055550003479999788e+01
-9.189999999999999147e+01,-6.048967883910999177e+01
-9.179999999999999716e+01,-6.042385764341999987e+01
-9.170000000000000284e+01,-6.035803644773000087e+01
-9.159999999999999432e+01,-6.029221525203999477e+01
-9.150000000000000000e+01,-6.022639405635000287e+01
-9.139999999999999147e+01,-6.016057286065999676e+01
-9.129999999999999716e+01,-6.009475166496999776e+01
-9.120000000000000284e+01,-6.002893046928000587e+01
-9.109999999999999432e+01,-5.996310927358999976e+01
-9.100000000000000000e+01,-5.989728807790000076e+01
-9.089999999999999147e+01,-5.983146688220999465e+01
-9.079999999999999716e+01,-5.976564568651999565e+01
-9.070000000000000284e+01,-5.969982449083000375e+01
-9.059999999999999432e+01,-5.963400329513999765e+01
-9.050000000000000000e+01,-5.956818209944999865e+01
-9.039999999999999147e+01,-5.950236090375999254e+01
-9.029999999999999716e+01,-5.943653970807000064e+01
-9.020000000000000284e+01,-5.937071851238000164e+01
-9.009999999999999432e+01,-5.930489731668999553e+01
-9.000000000000000000e+01,-5.923907612100000364e+01
-8.989999999999999147e+01,-5.917325492530999753e+01
-8.979999999999999716e+01,-5.910743372961999853e+01
-8.970000000000000284e+01,-5.904161253392999953e+01
-8.959999999999999432e+01,-5.897579133823999342e+01
-8.950000000000000000e+01,-5.890997014255000153e+01
-8.939999999999999147e+01,-5.884414894685999542e+01
-8.929999999999999716e+01,-5.877832775116999642e+01
-8.920000000000000284e+01,-5.871250655548000452e+01
-8.909999999999999432e+01,-5.864668535978999842e+01
-8.900000000000000000e+01,-5.858086416409999941e+01
-8.889999999999999147e+01,-5.851504296840999331e+01
-8.879999999999999716e+01,-5.844922177272000141e+01
-8.870000000000000284e+01,-5.838340057703000241e+01
-8.859999999999999432e+01,-5.831757938133999630e+01
-8.850000000000000000e+01,-5.825175818564999730e+01
-8.839999999999999147e+01,-5.818593698995999830e+01
-8.829999999999999716e+01,-5.812011579426999930e+01
-8.820000000000000284e+01,-5.805429459858000030e+01
-8.809999999999999432e+01,-5.798847340288999419e+01
