t_code_units,ps
8.042000000000000171e+01,5.293340557389799983e+01
8.052000000000001023e+01,5.299922676958800594e+01
8.062000000000000455e+01,5.306504796527800494e+01
8.071999999999999886e+01,5.313086916096799683e+01
8.082000000000000739e+01,5.319669035665800294e+01
8.092000000000000171e+01,5.326251155234800194e+01
8.102000000000001023e+01,5.332833274803800805e+01
8.112000000000000455e+01,5.339415394372799994e+01
8.121999999999999886e+01,5.345997513941799895e+01
8.132000000000000739e+01,5.352579633510800505e+01
8.142000000000000171e+01,5.359161753079800405e+01
8.152000000000001023e+01,5.365743872648801016e+01
8.162000000000000455e+01,5.372325992217800206e+01
8.171999999999999886e+01,5.378908111786800106e+01
8.182000000000000739e+01,5.385490231355800717e+01
8.192000000000000171e+01,5.392072350924799906e+01
8.202000000000001023e+01,5.398654470493800517e+01
8.212000000000000455e+01,5.405236590062800417e+01
8.221999999999999886e+01,5.411818709631800317e+01
8.232000000000000739e+01,5.418400829200800217e+01
8.242000000000000171e+01,5.424982948769800117e+01
8.252000000000001023e+01,5.431565068338800728e+01
8.262000000000000455e+01,5.438147187907800628e+01
8.271999999999999886e+01,5.444729307476799818e+01
8.282000000000000739e+01,5.451311427045800428e+01
8.292000000000000171e+01,5.457893546614800329e+01
8.302000000000001023e+01,5.464475666183800939e+01
8.312000000000000455e+01,5.471057785752800129e+01
8.321999999999999886e+01,5.477639905321800029e+01
8.332000000000000739e+01,5.484222024890800640e+01
8.342000000000000171e+01,5.490804144459799829e+01
8.352000000000001023e+01,5.497386264028800440e+01
8.362000000000000455e+01,5.503968383597800340e+01
8.371999999999999886e+01,5.510550503166800240e+01
8.382000000000000739e+01,5.517132622735800851e+01
8.392000000000000171e+01,5.523714742304800041e+01
8.402000000000001023e+01,5.530296861873800651e+01
8.412000000000000455e+01,5.536878981442800551e+01
8.421999999999999886e+01,5.543461101011799741e+01
8.432000000000000739e+01,5.550043220580800352e+01
8.442000000000000171e+01,5.556625340149800252e+01
8.452000000000001023e+01,5.563207459718800862e+01
8.462000000000000455e+01,5.569789579287800052e+01
8.471999999999999886e+01,5.576371698856799952e+01
8.482000000000000739e+01,5.582953818425800563e+01
8.492000000000000171e+01,5.589535937994800463e+01
8.502000000000001023e+01,5.596118057563801074e+01
8.512000000000000455e+01,5.602700177132800263e+01
8.521999999999999886e+01,5.609282296701800163e+01
8.532000000000000739e+01,5.615864416270800774e+01
8.542000000000000171e+01,5.622446535839799964e+01
8.552000000000001023e+01,5.629028655408800574e+01
8.562000000000000455e+01,5.635610774977800475e+01
8.571999999999999886e+01,5.642192894546799664e+01
8.582000000000000739e+01,5.648775014115800275e+01
8.592000000000000171e+01,5.655357133684800175e+01
8.602000000000001023e+01,5.661939253253800786e+01
8.612000000000000455e+01,5.668521372822800686e+01
8.621999999999999886e+01,5.675103492391799875e+01
8.632000000000000739e+01,5.681685611960800486e+01
8.642000000000000171e+01,5.688267731529800386e+01
8.652000000000001023e+01,5.694849851098800997e+01
8.662000000000000455e+01,5.701431970667800186e+01
8.671999999999999886e+01,5.708014090236800087e+01
