tau_code_units,ps
-5.259999999999999432e+01,-3.462194893293999343e+01
-5.239999999999999858e+01,-3.449030654156000253e+01
-5.219999999999999574e+01,-3.435866415017999742e+01
-5.199999999999999289e+01,-3.422702175879999231e+01
-5.179999999999999716e+01,-3.409537936742000142e+01
-5.159999999999999432e+01,-3.396373697603999631e+01
-5.139999999999999858e+01,-3.383209458465999830e+01
-5.119999999999999574e+01,-3.370045219328000030e+01
-5.099999999999999289e+01,-3.356880980189999519e+01
-5.079999999999999716e+01,-3.343716741051999719e+01
-5.059999999999999432e+01,-3.330552501913999919e+01
-5.039999999999999858e+01,-3.317388262776000118e+01
-5.019999999999999574e+01,-3.304224023637999608e+01
-4.999999999999999289e+01,-3.291059784499999807e+01
-4.979999999999999716e+01,-3.277895545362000007e+01
-4.959999999999999432e+01,-3.264731306223999496e+01
-4.939999999999999858e+01,-3.251567067085999696e+01
-4.919999999999999574e+01,-3.238402827947999896e+01
-4.899999999999999289e+01,-3.225238588809999385e+01
-4.879999999999999716e+01,-3.212074349671999585e+01
-4.859999999999999432e+01,-3.198910110533999784e+01
-4.839999999999999858e+01,-3.185745871395999984e+01
-4.819999999999999574e+01,-3.172581632257999829e+01
-4.799999999999999289e+01,-3.159417393119999673e+01
-4.779999999999999716e+01,-3.146253153981999873e+01
-4.759999999999999432e+01,-3.133088914843999717e+01
-4.739999999999999858e+01,-3.119924675705999917e+01
-4.719999999999999574e+01,-3.106760436567999761e+01
-4.699999999999999289e+01,-3.093596197429999606e+01
-4.679999999999999716e+01,-3.080431958291999806e+01
-4.659999999999999432e+01,-3.067267719153999650e+01
-4.639999999999999858e+01,-3.054103480015999850e+01
-4.619999999999999574e+01,-3.040939240877999694e+01
-4.599999999999999289e+01,-3.027775001739999539e+01
-4.579999999999999716e+01,-3.014610762601999738e+01
-4.559999999999999432e+01,-3.001446523463999583e+01
-4.539999999999999858e+01,-2.988282284325999782e+01
-4.519999999999999574e+01,-2.975118045187999627e+01
-4.499999999999999289e+01,-2.961953806049999471e+01
-4.479999999999999716e+01,-2.948789566911999671e+01
-4.459999999999999432e+01,-2.935625327773999516e+01
-4.439999999999999858e+01,-2.922461088636000071e+01
-4.419999999999999574e+01,-2.909296849497999915e+01
-4.399999999999999289e+01,-2.896132610359999404e+01
-4.379999999999999716e+01,-2.882968371221999959e+01
-4.359999999999999432e+01,-2.869804132083999804e+01
-4.339999999999999858e+01,-2.856639892946000003e+01
-4.319999999999999574e+01,-2.843475653807999848e+01
-4.299999999999999289e+01,-2.830311414669999692e+01
-4.279999999999999716e+01,-2.817147175531999892e+01
-4.259999999999999432e+01,-2.803982936393999736e+01
-4.239999999999999858e+01,-2.790818697255999936e+01
-4.219999999999999574e+01,-2.777654458117999781e+01
-4.199999999999999289e+01,-2.764490218979999625e+01
-4.179999999999999716e+01,-2.751325979841999825e+01
-4.159999999999999432e+01,-2.738161740703999669e+01
-4.139999999999999858e+01,-2.724997501565999869e+01
-4.119999999999999574e+01,-2.711833262427999713e+01
-4.099999999999999289e+01,-2.698669023289999558e+01
-4.079999999999999716e+01,-2.685504784151999758e+01
-4.059999999999999432e+01,-2.672340545013999602e+01
-4.039999999999999858e+01,-2.659176305875999802e+01
-4.019999999999999574e+01,-2.646012066737999646e+01
-3.999999999999999289e+01,-2.632847827599999491e+01
-3.979999999999999716e+01,-2.619683588461999690e+01
-3.959999999999999432e+01,-2.606519349323999535e+01
-3.939999999999999858e+01,-2.593355110186000090e+01
-3.919999999999999574e+01,-2.580190871047999579e+01
-3.899999999999999289e+01,-2.567026631909999423e+01
-3.879999999999999716e+01,-2.553862392771999978e+01
-3.859999999999999432e+01,-2.540698153633999823e+01
-3.839999999999999858e+01,-2.527533914496000023e+01
-3.819999999999999574e+01,-2.514369675357999867e+01
-3.799999999999999289e+01,-2.501205436219999712e+01
-3.779999999999999716e+01,-2.488041197081999911e+01
-3.759999999999999432e+01,-2.474876957943999756e+01
-3.739999999999999858e+01,-2.461712718805999955e+01
-3.719999999999999574e+01,-2.448548479667999800e+01
-3.699999999999999289e+01,-2.435384240529999644e+01
-3.679999999999999716e+01,-2.422220001391999844e+01
-3.659999999999999432e+01,-2.409055762253999688e+01
-3.639999999999999858e+01,-2.395891523115999888e+01
-3.619999999999999574e+01,-2.382727283977999733e+01
-3.599999999999999289e+01,-2.369563044839999577e+01
-3.579999999999999716e+01,-2.356398805701999777e+01
-3.559999999999999432e+01,-2.343234566563999621e+01
-3.539999999999999858e+01,-2.330070327425999821e+01
-3.519999999999999574e+01,-2.316906088287999665e+01
-3.499999999999999289e+01,-2.303741849149999510e+01
-3.479999999999999716e+01,-2.290577610011999710e+01
-3.459999999999999432e+01,-2.277413370873999554e+01
-3.439999999999999858e+01,-2.264249131735999754e+01
-3.419999999999999574e+01,-2.251084892597999598e+01
-3.399999999999999289e+01,-2.237920653459999443e+01
